Datetime,mnq,div_cl,rot_score_short,below_4h_open,target,hour,dow,ml_prob,result,sinal
2026-02-27 09:00:00,25030.25,-15.963221264927483,73.5,1,1,9,4,0.5616868,WIN,SHORT
2026-02-27 10:00:00,25000.75,-18.929572599675524,73.5,1,1,10,4,0.57878983,WIN,SHORT
2026-02-27 11:00:00,24952.75,-24.424203193326427,73.5,1,0,11,4,0.54224277,LOSS,SHORT
2026-02-27 12:00:00,24921.25,-27.544996854005568,73.5,1,0,12,4,0.54600215,LOSS,SHORT
2026-03-01 23:00:00,24739.0,-45.8466168786708,64.7,1,0,23,6,0.52622396,LOSS,SHORT
2026-03-02 05:00:00,24677.0,-34.70514595802433,64.7,1,1,5,0,0.6141454,WIN,SHORT
2026-03-02 07:00:00,24541.5,-43.58775841073067,64.7,1,0,7,0,0.6333412,LOSS,SHORT
2026-03-03 08:00:00,24517.0,-34.690383626400106,73.5,1,0,8,1,0.5002166,LOSS,SHORT
2026-03-03 09:00:00,24455.0,-38.87858188692786,73.5,1,0,9,1,0.6054784,LOSS,SHORT
2026-03-03 21:00:00,24711.5,-8.771742663149112,76.5,1,1,21,1,0.5074574,WIN,SHORT
2026-03-03 23:00:00,24702.5,-11.713866713711475,76.5,1,1,23,1,0.57546353,WIN,SHORT
2026-03-05 01:00:00,25070.25,-2.378267245901057,82.4,1,1,1,3,0.54248625,WIN,SHORT
2026-03-05 02:00:00,25091.0,-3.291240784417262,64.7,1,0,2,3,0.537018,LOSS,SHORT
2026-03-05 12:00:00,25068.25,-2.7346899796926465,73.5,1,1,12,3,0.55425894,WIN,SHORT
2026-03-05 17:00:00,24806.75,-23.94786779873482,82.4,1,0,17,3,0.5232465,LOSS,SHORT
2026-03-06 09:00:00,24920.5,-27.572062924511606,67.6,1,1,9,4,0.6694832,WIN,SHORT
2026-03-06 10:00:00,24948.0,-22.596424924703967,67.6,1,1,10,4,0.59257126,WIN,SHORT
2026-03-06 12:00:00,24836.0,-31.29596546143337,73.5,1,0,12,4,0.52381927,LOSS,SHORT
2026-03-06 13:00:00,24646.0,-40.01255215987503,73.5,1,0,13,4,0.5793938,LOSS,SHORT
2026-03-06 17:00:00,24784.75,-39.00573429686981,73.5,1,1,17,4,0.52484864,WIN,SHORT
2026-03-08 23:00:00,24214.5,-59.38362986361015,64.7,1,1,23,6,0.60120577,WIN,SHORT
2026-03-09 01:00:00,24008.25,-65.33238047782855,64.7,1,0,1,0,0.6326725,LOSS,SHORT
