Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2025-08-06 19:00:00,23423.5,32.906780418027,73.5,1,1,19,2,0.5657891,WIN
2025-08-07 19:00:00,23502.0,20.587577269431392,64.7,1,1,19,3,0.5562618,WIN
2025-08-12 12:00:00,23773.5,20.516119720682156,64.7,1,1,12,1,0.5792778,WIN
2025-08-12 15:00:00,23867.5,23.354001465584524,64.7,1,1,15,1,0.58417344,WIN
2025-08-28 02:00:00,23554.25,0.08734270756494311,76.5,1,1,2,3,0.53135455,WIN
2025-08-28 14:00:00,23714.0,13.108894123366916,73.5,1,1,14,3,0.5449677,WIN
2025-08-28 15:00:00,23687.5,12.334873906689637,61.8,1,1,15,3,0.5599827,WIN
2025-09-03 09:00:00,23438.0,13.437000982881564,67.6,1,0,9,2,0.5293568,LOSS
2025-09-03 14:00:00,23510.75,19.816470203933093,64.7,1,0,14,2,0.5772312,LOSS
2025-09-08 12:00:00,23778.75,5.078374574699282,70.6,1,1,12,0,0.50731534,WIN
2025-09-08 13:00:00,23845.5,22.106288676395742,61.8,1,0,13,0,0.5070841,LOSS
2025-09-09 16:00:00,23821.25,3.8186777814667465,85.3,1,1,16,1,0.55481267,WIN
2025-09-09 17:00:00,23839.5,7.529466282546018,73.5,1,1,17,1,0.536005,WIN
2025-09-11 10:00:00,23945.5,13.104243919169583,64.7,1,1,10,3,0.51651114,WIN
2025-09-11 13:00:00,23979.25,24.775970265107482,64.7,1,1,13,3,0.51012814,WIN
2025-09-11 14:00:00,24003.75,30.992740761425686,64.7,1,1,14,3,0.50597155,WIN
2025-09-19 08:00:00,24705.75,15.60588506562106,64.7,1,1,8,4,0.52334875,WIN
2025-09-19 16:00:00,24821.5,26.93879740749761,64.7,1,1,16,4,0.5700396,WIN
2025-10-01 08:00:00,24720.25,4.042532542737938,82.4,1,1,8,2,0.5188661,WIN
2025-10-06 10:00:00,25170.75,5.193706073972955,91.2,1,0,10,0,0.55276245,LOSS
2025-10-06 11:00:00,25184.5,13.648478207147832,61.8,1,0,11,0,0.55955815,LOSS
2025-10-06 15:00:00,25207.75,8.073334698696776,73.5,1,0,15,0,0.52289414,LOSS
2025-10-07 12:00:00,25253.75,14.708950913157679,64.7,1,0,12,1,0.52318096,LOSS
2025-10-08 13:00:00,25174.0,3.239949789386408,82.4,1,1,13,2,0.57615644,WIN
2025-10-08 14:00:00,25193.75,0.16030979165807224,64.7,1,1,14,2,0.5607837,WIN
2025-10-10 13:00:00,25357.5,28.602279775014978,73.5,1,0,13,4,0.577353,LOSS
2025-10-15 14:00:00,25100.0,17.68414688693229,64.7,1,0,14,2,0.5622301,LOSS
2025-10-30 20:00:00,26149.0,0.93367046274318,67.6,1,1,20,3,0.52852285,WIN
2025-11-20 13:00:00,25230.0,13.28380756504415,64.7,1,0,13,3,0.5247198,LOSS
2025-11-20 14:00:00,25275.0,12.769822364302826,64.7,1,0,14,3,0.5653047,LOSS
2025-12-01 16:00:00,25435.0,9.144286838692942,64.7,1,0,16,0,0.53582,LOSS
2025-12-01 17:00:00,25450.75,9.405203572651239,64.7,1,0,17,0,0.5212272,LOSS
2025-12-02 14:00:00,25597.25,30.176688448627132,61.8,1,0,14,1,0.5394451,LOSS
2025-12-08 17:00:00,25680.75,7.467944230191662,76.5,1,1,17,0,0.5720914,WIN
2025-12-08 23:00:00,25726.5,15.979922425439106,61.8,1,0,23,0,0.60732365,LOSS
2025-12-11 07:00:00,25539.25,1.2556634303483847,64.7,1,1,7,3,0.58264816,WIN
2025-12-15 10:00:00,25336.0,5.462263759877374,67.6,1,0,10,0,0.5262574,LOSS
2025-12-17 10:00:00,25483.0,0.24381092031717344,61.8,1,0,10,2,0.5647626,LOSS
2025-12-17 11:00:00,25495.0,0.8718351705770644,61.8,1,0,11,2,0.54069203,LOSS
2025-12-18 09:00:00,25095.75,3.203289310648856,67.6,1,1,9,3,0.56944,WIN
2025-12-19 14:00:00,25557.75,5.8851604407031815,67.6,1,0,14,4,0.5613726,LOSS
2025-12-19 15:00:00,25483.25,7.781794825877256,64.7,1,1,15,4,0.54482645,WIN
2025-12-23 15:00:00,25731.25,2.85129167059155,82.4,1,1,15,1,0.50549227,WIN
2026-01-02 09:00:00,25733.0,17.945055384763286,73.5,1,0,9,4,0.52776223,LOSS
2026-01-05 10:00:00,25553.75,0.09038768083483006,61.8,1,1,10,0,0.5567317,WIN
2026-01-06 14:00:00,25753.0,10.750233872486099,82.4,1,1,14,1,0.50776064,WIN
2026-01-06 15:00:00,25687.75,4.599988127064847,64.7,1,1,15,1,0.54960597,WIN
2026-01-06 17:00:00,25759.75,17.14234623633454,64.7,1,1,17,1,0.54950875,WIN
2026-01-06 19:00:00,25809.5,27.923084416355877,64.7,1,0,19,1,0.5140949,LOSS
2026-01-12 14:00:00,25901.0,8.452921727647691,82.4,1,1,14,0,0.5447456,WIN
2026-01-15 09:00:00,25813.0,18.454860643797062,73.5,1,1,9,3,0.5408191,WIN
2026-01-15 10:00:00,25817.25,16.465377784566677,73.5,1,1,10,3,0.5450137,WIN
2026-01-15 13:00:00,25893.25,21.672363662384974,64.7,1,0,13,3,0.50034124,LOSS
2026-01-22 16:00:00,25669.25,17.688167363790093,64.7,1,0,16,3,0.50800025,LOSS
2026-01-22 17:00:00,25711.5,23.275696699018305,64.7,1,0,17,3,0.5278862,LOSS
2026-01-23 15:00:00,25826.5,1.3292447539299133,91.2,1,0,15,4,0.5228735,LOSS
2026-01-26 12:00:00,25688.5,0.29706340628357,76.5,1,1,12,0,0.5236157,WIN
2026-01-26 15:00:00,25881.5,13.58206659430764,64.7,1,0,15,0,0.51611966,LOSS
2026-02-02 18:00:00,25941.75,17.14280405596714,76.5,1,0,18,0,0.51941824,LOSS
2026-02-20 15:00:00,25118.75,9.676496326140018,82.4,1,0,15,4,0.5123028,LOSS
2026-02-24 15:00:00,24976.25,15.34662472456565,73.5,1,1,15,1,0.51271635,WIN
2026-02-25 15:00:00,25294.75,28.85273767056904,64.7,1,1,15,2,0.5180918,WIN
2026-03-02 16:00:00,25033.5,0.14998893804994395,76.5,1,0,16,0,0.5676806,LOSS
2026-03-02 17:00:00,25064.75,2.753427638217147,73.5,1,0,17,0,0.54141897,LOSS
2026-03-02 19:00:00,25082.75,1.36055876055768,61.8,1,0,19,0,0.5103761,LOSS
2026-03-04 10:00:00,24842.5,1.7775597225782676,100.0,1,1,10,2,0.5366582,WIN
