feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
adx_es,continua,Q1[6.834-17.223],2960,0.24391891891891893,0.6635135135135135,-0.0022375264265786232,-0.009911051446783836
rsi_mnq,continua,Q3[52.915-60.062],2959,0.24332544778641432,0.677593781683001,-0.002830997559083226,0.00416921672270365
rsi_mnq,continua,Q2[45.210-52.915],2959,0.24332544778641432,0.6657654613044948,-0.002830997559083226,-0.007659103655802579
r_btc_4h,continua,Q1[-25.382--0.537],2960,0.24324324324324326,0.664527027027027,-0.002913202102254292,-0.008897537933270305
r_cl_1h,continua,Q1[-13.063--0.199],2960,0.2429054054054054,0.6726351351351352,-0.003251039940092154,-0.000789429825162169
dist_ema20_cl,continua,Q1[-13.764--0.528],2960,0.2429054054054054,0.6699324324324324,-0.003251039940092154,-0.003492132527864955
adx_mnq,continua,Q3[23.331-31.525],2959,0.2426495437647854,0.6691449814126395,-0.0035069015807121517,-0.004279583547657895
di_spread_es,continua,Q2[-10.064--0.817],2959,0.24231159175397093,0.6546130449476174,-0.0038448535915266147,-0.01881152001267994
rsi_btc,continua,Q2[43.572-50.618],2959,0.24197363974315647,0.6667793173369382,-0.004182805602341078,-0.006645247623359163
div_cl,continua,Q2[-8.322-2.244],2959,0.24197363974315647,0.6515714768502873,-0.004182805602341078,-0.021853088110010077
vol_btc,continua,Q2[0.339-0.457],2959,0.24197363974315647,0.6748901655964853,-0.004182805602341078,0.001465600636187947
adx_es,continua,Q2[17.223-23.221],2959,0.24197363974315647,0.6623859411963501,-0.004182805602341078,-0.011038623763947264
open_w_dist_es,continua,Q2[-0.442-0.098],2959,0.24197363974315647,0.6644136532612369,-0.004182805602341078,-0.009010911699060431
vol_btc,continua,Q4[0.627-5.373],2960,0.2418918918918919,0.6554054054054054,-0.004264553453605657,-0.018019159554891973
di_spread_es,continua,Q1[-58.943--10.064],2960,0.24155405405405406,0.6621621621621622,-0.004602391291443492,-0.011262402798135174
