asset,entry_time,exit_time,direction,result,ret_r,pnl_pct,entry_price,stop_price,target_price,atr,conf
mnq,2025-09-16 11:00:00,2025-09-16 15:00:00,SHORT,WIN,3.0,3.0,24605.0,24771.12,24272.75,110.75,0.509
mnq,2025-11-13 15:00:00,2025-11-14 05:00:00,SHORT,WIN,3.0,3.0,25258.0,25398.22,24977.55,93.48,0.544
mnq,2025-11-20 08:00:00,2025-11-20 14:00:00,SHORT,LOSS,-1.5,-1.5,25132.5,25273.04,24851.41,93.7,0.506
mnq,2025-11-21 09:00:00,2025-11-21 17:00:00,LONG,WIN,3.0,3.0,24035.5,23848.56,24409.38,124.62,0.523
mnq,2026-01-23 09:00:00,2026-01-23 15:00:00,LONG,WIN,3.0,3.0,25558.25,25477.33,25720.09,53.95,0.502
mnq,2026-03-11 11:00:00,2026-03-11 14:00:00,LONG,WIN,3.0,3.0,24946.25,24840.31,25158.12,70.62,0.512
mnq,2026-03-11 15:00:00,2026-03-11 23:00:00,LONG,LOSS,-1.5,-1.5,24934.75,24776.9,25250.45,105.23,0.513
mnq,2026-04-01 08:00:00,2026-04-01 11:00:00,SHORT,LOSS,-1.5,-1.5,24070.5,24196.18,23819.14,83.79,0.524
mnq,2026-04-01 12:00:00,2026-04-01 13:00:00,SHORT,LOSS,-1.5,-1.5,24061.75,24190.83,23803.59,86.05,0.528
mnq,2026-04-15 14:00:00,2026-04-15 16:00:00,SHORT,LOSS,-1.5,-1.5,26162.75,26247.42,25993.41,56.45,0.501
mnq,2026-04-24 11:00:00,2026-04-24 15:00:00,SHORT,LOSS,-1.5,-1.5,27275.75,27379.52,27068.21,69.18,0.518
mnq,2026-04-28 12:00:00,2026-04-29 00:00:00,SHORT,LOSS,-1.5,-1.5,27148.25,27251.94,26940.88,69.12,0.515
mnq,2026-04-30 11:00:00,2026-04-30 19:00:00,SHORT,LOSS,-1.5,-1.5,27439.5,27622.85,27072.8,122.23,0.512
btc,2024-05-19 08:00:00,2024-05-20 08:00:00,SHORT,EXPIRED,0.41,0.415,67185.31,68666.82,64222.29,987.67,0.669
btc,2024-05-20 19:00:00,2024-05-20 23:00:00,SHORT,LOSS,-1.5,-1.5,69881.77,70644.49,68356.32,508.48,0.516
btc,2024-05-21 08:00:00,2024-05-22 08:00:00,SHORT,EXPIRED,1.42,1.421,70910.93,71857.76,69017.28,631.22,0.714
btc,2024-05-22 08:00:00,2024-05-22 16:00:00,SHORT,LOSS,-1.5,-1.5,70013.82,70547.31,68946.85,355.66,0.582
btc,2024-05-22 16:00:00,2024-05-22 21:00:00,SHORT,WIN,3.0,3.0,70245.15,70836.64,69062.16,394.33,0.725
btc,2024-05-23 08:00:00,2024-05-23 13:00:00,SHORT,WIN,3.0,3.0,69617.59,70044.67,68763.42,284.72,0.607
btc,2024-05-24 17:00:00,2024-05-25 11:00:00,SHORT,LOSS,-1.5,-1.5,68853.41,69524.66,67510.93,447.49,0.551
btc,2024-05-27 15:00:00,2024-05-27 19:00:00,SHORT,WIN,3.0,3.0,70287.74,70815.6,69232.02,351.91,0.523
btc,2024-05-29 08:00:00,2024-05-30 04:00:00,SHORT,LOSS,-1.5,-1.5,67781.98,68256.34,66833.27,316.24,0.589
btc,2024-05-30 17:00:00,2024-05-30 20:00:00,SHORT,WIN,3.0,3.0,69430.02,70060.12,68169.81,420.07,0.536
btc,2024-06-02 11:00:00,2024-06-02 18:00:00,SHORT,WIN,3.0,3.0,68166.55,68434.85,67629.94,178.87,0.536
btc,2024-06-05 17:00:00,2024-06-06 17:00:00,SHORT,EXPIRED,1.51,1.513,71639.05,72197.91,70521.35,372.57,0.505
btc,2024-06-06 17:00:00,2024-06-06 20:00:00,SHORT,WIN,3.0,3.0,71075.24,71487.41,70250.9,274.78,0.559
btc,2024-06-10 15:00:00,2024-06-10 19:00:00,SHORT,WIN,3.0,3.0,70054.54,70355.55,69452.53,200.67,0.631
btc,2024-06-10 19:00:00,2024-06-11 01:00:00,SHORT,WIN,3.0,3.0,69400.39,69780.55,68640.08,253.44,0.615
btc,2024-06-12 12:00:00,2024-06-12 14:00:00,SHORT,LOSS,-1.5,-1.5,69384.74,69917.59,68319.04,355.23,0.644
btc,2024-06-12 15:00:00,2024-06-12 19:00:00,SHORT,WIN,3.0,3.0,69726.59,70331.69,68516.38,403.4,0.506
btc,2024-06-12 20:00:00,2024-06-13 20:00:00,SHORT,EXPIRED,2.22,2.222,68085.88,69056.94,66143.76,647.37,0.524
btc,2024-06-14 08:00:00,2024-06-14 15:00:00,SHORT,WIN,3.0,3.0,67118.32,67478.33,66398.3,240.01,0.518
btc,2024-06-16 10:00:00,2024-06-16 22:00:00,SHORT,LOSS,-1.5,-1.5,66640.92,66829.51,66263.74,125.73,0.503
btc,2024-06-17 08:00:00,2024-06-17 13:00:00,SHORT,WIN,3.0,3.0,66160.49,66520.51,65440.45,240.01,0.595
btc,2024-06-17 16:00:00,2024-06-17 17:00:00,SHORT,LOSS,-1.5,-1.5,65826.04,66392.8,64692.52,377.84,0.508
btc,2024-06-17 17:00:00,2024-06-17 18:00:00,SHORT,LOSS,-1.5,-1.5,66475.63,67089.56,65247.77,409.29,0.605
btc,2024-06-17 18:00:00,2024-06-18 00:00:00,SHORT,WIN,3.0,3.0,67022.52,67688.67,65690.22,444.1,0.72
btc,2024-06-18 08:00:00,2024-06-18 19:00:00,SHORT,WIN,3.0,3.0,65730.77,66441.99,64308.33,474.15,0.58
btc,2024-06-19 09:00:00,2024-06-20 07:00:00,SHORT,LOSS,-1.5,-1.5,65216.94,65711.26,64228.31,329.54,0.557
btc,2024-06-20 08:00:00,2024-06-20 10:00:00,SHORT,LOSS,-1.5,-1.5,65665.03,66011.76,64971.57,231.15,0.68
btc,2024-06-20 10:00:00,2024-06-20 13:00:00,SHORT,WIN,3.0,3.0,66095.52,66468.95,65348.67,248.95,0.644
btc,2024-06-20 13:00:00,2024-06-21 07:00:00,SHORT,WIN,3.0,3.0,65174.92,65647.02,64230.72,314.73,0.509
btc,2024-06-21 10:00:00,2024-06-21 20:00:00,SHORT,LOSS,-1.5,-1.5,63877.5,64329.65,62973.2,301.43,0.529
btc,2024-06-23 08:00:00,2024-06-23 15:00:00,SHORT,WIN,3.0,3.0,64347.55,64468.65,64105.34,80.74,0.594
btc,2024-06-23 15:00:00,2024-06-23 20:00:00,SHORT,WIN,3.0,3.0,64060.29,64176.35,63828.17,77.37,0.585
btc,2024-06-23 20:00:00,2024-06-23 23:00:00,SHORT,WIN,3.0,3.0,63707.69,63894.29,63334.47,124.4,0.578
btc,2024-06-24 08:00:00,2024-06-24 09:00:00,SHORT,WIN,3.0,3.0,62619.83,63132.34,61594.81,341.67,0.506
btc,2024-06-24 09:00:00,2024-06-24 17:00:00,SHORT,WIN,3.0,3.0,61354.39,62049.36,59964.46,463.31,0.576
btc,2024-06-26 08:00:00,2024-06-26 14:00:00,SHORT,LOSS,-1.5,-1.5,61478.26,61863.14,60708.49,256.59,0.53
btc,2024-06-28 08:00:00,2024-06-28 19:00:00,SHORT,WIN,3.0,3.0,61380.35,61779.55,60581.95,266.13,0.536
btc,2024-07-01 17:00:00,2024-07-01 22:00:00,SHORT,WIN,3.0,3.0,63612.81,64014.82,62808.8,268.0,0.522
btc,2024-07-02 08:00:00,2024-07-02 13:00:00,SHORT,LOSS,-1.5,-1.5,62604.24,62952.91,61906.9,232.45,0.601
btc,2024-07-03 08:00:00,2024-07-03 10:00:00,SHORT,WIN,3.0,3.0,60543.19,60950.88,59727.81,271.79,0.621
btc,2024-07-03 10:00:00,2024-07-04 01:00:00,SHORT,WIN,3.0,3.0,60270.38,60714.88,59381.38,296.33,0.624
btc,2024-07-04 15:00:00,2024-07-05 02:00:00,SHORT,WIN,3.0,3.0,58100.37,58968.88,56363.35,579.01,0.58
btc,2024-07-06 20:00:00,2024-07-06 23:00:00,SHORT,LOSS,-1.5,-1.5,58002.88,58434.13,57140.4,287.49,0.556
btc,2024-07-07 08:00:00,2024-07-07 21:00:00,SHORT,WIN,3.0,3.0,57622.58,58114.07,56639.6,327.66,0.627
btc,2024-07-08 08:00:00,2024-07-08 14:00:00,SHORT,WIN,3.0,3.0,57704.43,58689.73,55733.83,656.87,0.5
btc,2024-07-11 11:00:00,2024-07-11 15:00:00,SHORT,WIN,3.0,3.0,58782.02,59351.92,57642.21,379.94,0.513
btc,2024-07-11 18:00:00,2024-07-12 18:00:00,SHORT,EXPIRED,-1.13,-1.129,57828.81,58487.1,56512.23,438.86,0.504
btc,2024-07-17 08:00:00,2024-07-17 16:00:00,SHORT,WIN,3.0,3.0,65218.51,65836.44,63982.64,411.96,0.598
btc,2024-07-18 08:00:00,2024-07-18 14:00:00,SHORT,WIN,3.0,3.0,64956.33,65484.38,63900.22,352.04,0.556
btc,2024-07-19 18:00:00,2024-07-20 18:00:00,SHORT,EXPIRED,-1.5,-1.495,66794.19,67521.44,65339.69,484.83,0.561
btc,2024-07-20 18:00:00,2024-07-21 06:00:00,SHORT,WIN,3.0,3.0,67519.16,67867.46,66822.58,232.2,0.689
btc,2024-07-22 19:00:00,2024-07-23 05:00:00,SHORT,WIN,3.0,3.0,68237.15,68894.23,66922.98,438.06,0.563
btc,2024-07-27 13:00:00,2024-07-27 17:00:00,SHORT,WIN,3.0,3.0,69264.29,69649.28,68494.3,256.66,0.534
btc,2024-07-27 18:00:00,2024-07-27 20:00:00,SHORT,WIN,3.0,3.0,68666.9,69157.63,67685.43,327.15,0.526
btc,2024-07-31 17:00:00,2024-07-31 19:00:00,SHORT,WIN,3.0,3.0,66646.4,67229.6,65479.99,388.8,0.509
btc,2024-08-02 08:00:00,2024-08-02 13:00:00,SHORT,LOSS,-1.5,-1.5,64476.22,65334.76,62759.14,572.36,0.62
btc,2024-08-02 13:00:00,2024-08-02 14:00:00,SHORT,WIN,3.0,3.0,65189.34,65917.75,63732.53,485.61,0.522
